Car Brand,Car Model,Model Year,Car Price (in $),Car Mileage (in miles)
Ford,Transit Connect Van,2011,8450,142530
Chevrolet,Camaro,2015,13700,98000
Honda,Civic,2012,10488,89000
Lexus,NX,2015,24869,31297
Toyota,Camry,2007,3840,210000
Mazda,CX-5,2020,28998,13218
Porsche,718 Boxster,2019,83995,10098
Dodge,Grand Caravan,2012,6495,104716
Ram,ProMaster Cargo Van,2019,35998,76012
Ford,Explorer,2016,22995,91392
Nissan,Rogue Sport,2019,22288,21047
Mercedes-Benz,GLC,2019,31500,42126
Mercedes-Benz,C-Class,2021,39842,11380
Lamborghini,Urus,2020,247500,42316
Toyota,C-HR,2021,26889,9332
Nissan,Pathfinder,2019,31788,27040
Toyota,Corolla,2021,19495,14539
GMC,Sierra 1500,2019,40000,40842
Ford,EcoSport,2021,24499,17420
Audi,SQ5,2018,36969,42011
Jeep,Grand Cherokee,2020,35500,32000
Chrysler,Town & Country,2013,8950,95152
Porsche,Cayenne,2021,127995,3474
Lexus,RX,2005,7750,152326
Acura,TLX,2020,25995,13768
Ford,Explorer,2019,31995,31822
Jeep,Grand Cherokee,2016,37995,104778
Ford,Fusion,2013,7995,136199
GMC,Sierra 1500,2021,43500,16822
Nissan,Sentra,2018,9995,104611
Ford,F-150,2020,41495,27357
Audi,Q5,2021,43646,9187
Ford,EcoSport,2020,18597,59015
Jeep,Cherokee,2019,25995,26249
Ford,Explorer,2017,19995,85285
Toyota,Corolla,2021,24000,3476
Toyota,Camry,2014,8950,165841
Nissan,Rogue,2019,20995,51487
Chevrolet,Silverado 1500,2021,44500,7510
Nissan,Altima,2013,7900,120426
BMW,X5,2019,42995,36085
Mercedes-Benz,M-Class,2011,9539,145000
Toyota,Corolla,2021,23097,41814
INFINITI,QX50,2019,30981,41350
Mercedes-Benz,C-Class,2018,21995,58469
Volkswagen,Tiguan,2014,8995,125418
Mercedes-Benz,M-Class,2015,21981,74828
Chevrolet,Express Cargo Van,2011,10699,173922
Land,Rover LR4,2012,13950,132612
Jeep,Grand Cherokee,2018,24995,84911
Chevrolet,Blazer,2019,29500,42483
Mercedes-Benz,C-Class,2021,40518,4734
Toyota,RAV4,2020,25495,45875
Chevrolet,Equinox,2019,22795,26118
Toyota,Tacoma,2020,35397,46336
Nissan,Rogue,2017,18500,31935
Lincoln,MKC,2017,20995,51410
BMW,3 Series,2014,12999,91311
Honda,CR-V,2019,30795,30834
Mercedes-Benz,C-Class,2019,31995,16086
Chevrolet,Trax,2019,14500,102639
Mazda,CX-5,2020,29788,7137
Mercedes-Benz,S-Class,2019,87945,54022
Jeep,Grand Cherokee WK,2021,34197,46093
Lamborghini,Urus,2021,305995,3045
Audi,Q5,2019,36150,26275
Nissan,Rogue,2018,18312,46393
Ford,Fusion,2017,14495,92247
BMW,3 Series,2019,27995,58285
Ford,Explorer,2019,31995,25587
Toyota,Corolla,2018,12700,122548
Nissan,Altima,2015,13069,68612
BMW,M3,2018,65999,27348
Nissan,Rogue,2018,17995,101806
Chevrolet,Equinox,2018,24000,5991
Nissan,Rogue,2020,19299,50851
Hyundai,Elantra,2020,16495,55554
Toyota,Corolla,2020,24995,24103
Chevrolet,Equinox,2019,15995,89191
Scion,tC,2011,8999,97413
Audi,Q7,2019,43825,31756
Land,Rover Range Rover Evoque,2020,39999,32482
Nissan,Rogue,2020,29041,12115
Mercedes-Benz,C-Class,2019,27385,55791
Ford,Edge,2019,29395,12399
Mercedes-Benz,C-Class,2017,19995,71126
Nissan,Sentra,2019,15450,44358
Volvo,XC40,2020,35900,23707
Mercedes-Benz,C-Class,2021,39919,10006
Honda,Accord,2012,10995,136612
Nissan,Pathfinder,2020,33998,23639
Nissan,Rogue,2017,16542,72753
Ford,Fusion,2016,11998,80328
Kia,Sportage,2020,20942,72887
Toyota,Camry,2021,26997,41435
BMW,X5,2016,22995,78508
Honda,HR-V,2016,19995,61641
Honda,CR-V,2019,28145,32937
Aston,Martin DB11,2019,165500,29067
INFINITI,QX50,2017,20985,71018
Ford,Escape,2019,22985,35983
Nissan,Sentra,2019,17995,58377
Nissan,Rogue,2019,15496,50146
Chevrolet,Traverse,2018,29000,79259
Subaru,Ascent,2020,32999,21880
Ford,Edge,2019,29495,11842
Volvo,XC90,2019,42770,18206
Nissan,Rogue,2020,28152,11671
Mercedes-Benz,GLS,2019,53861,27227
Nissan,Rogue,2019,24995,17146
Ford,Fusion,2018,18995,31605
Acura,MDX,2019,28991,90818
Volvo,XC60,2022,57700,104
BMW,X5,2019,44777,33849
Honda,Odyssey,2014,12995,116804
Mercedes-Benz,GLB,2021,39953,13087
Volvo,XC90,2020,46990,16995
Ford,Fusion,2018,14900,76330
Nissan,Rogue,2018,23995,33982
Audi,Q7,2015,21995,96233
Porsche,Macan,2021,60995,6367
Honda,Civic,2019,17999,63989
Kia,Optima,2019,17495,29800
Kia,Optima,2013,9442,129580
Kia,Forte,2021,21998,22589
Ford,Econoline Cargo Van,2014,11499,287487
Hyundai,Santa Fe,2020,32500,12926
BMW,4 Series,2015,20995,79396
Dodge,Challenger,2017,21995,107737
Ford,Econoline Cargo Van,2012,14199,137189
Toyota,Corolla,2020,21775,44582
Ford,Fusion,2016,10495,105190
Chevrolet,Malibu,2020,17795,59249
Mazda,Mazda6,2019,20995,27380
Nissan,Altima,2020,24242,8583
Honda,CR-V,2019,28050,35428
Honda,HR-V,2016,18588,100699
Ford,Explorer,2015,12599,128094
Mercedes-Benz,C-Class,2021,39871,9885
Toyota,Corolla,2020,17995,47719
Chevrolet,Equinox,2019,24900,27829
Honda,Civic,2018,15995,75126
BMW,5 Series,2019,31795,52500
Ford,Edge,2019,27495,31534
Ford,F-150,2010,9999,177636
Audi,A4,2021,39857,11744
Honda,CR-V,2019,30995,23544
Chevrolet,Equinox,2018,17595,70426
Volkswagen,Tiguan,2013,10999,89899
Mercedes-Benz,GLE,2020,60472,18717
Mercedes-Benz,C-Class,2021,39842,11064
BMW,4 Series,2019,23995,69262
Lexus,NX,2019,28293,35234
