Car Brand,Car Model,Model Year,Car Price (in $),Car Mileage (in miles)
Lexus,RX,2016,26995,73659
Honda,Pilot,2019,31595,25658
Honda,CR-V,2019,27452,22220
Mitsubishi,Outlander Sport,2017,18000,68000
Ford,Explorer,2019,31906,30000
Jeep,Liberty,2010,7492,114326
Mazda,CX-5,2019,25575,36206
Mercedes-Benz,C-Class,2018,31495,3048
Ford,Explorer,2018,23999,61608
Chevrolet,Tahoe,2012,7599,181572
Chevrolet,Equinox,2021,25340,8999
Honda,Civic,2019,20110,30356
Kia,Forte,2018,10995,74195
Toyota,RAV4,2019,31998,40999
BMW,5 Series,2019,37834,35144
Ford,F-150,2013,14999,138459
Ford,Explorer,2017,23995,58596
Porsche,Macan,2018,34254,52024
Ford,Fusion,2010,5999,123992
Ford,Super Duty F-250,2022,66998,5498
Nissan,Rogue,2021,30497,40299
Honda,Civic,2015,9948,156892
Nissan,Altima,2019,19995,37381
Ford,Escape,2019,23035,29255
Mercedes-Benz,GLS,2018,54864,41906
Nissan,Rogue Sport,2019,22995,13041
Dodge,Durango,2020,33495,48907
Hyundai,Santa Fe,2008,3000,170000
Jeep,Grand Cherokee,2020,29449,36038
Ford,F-150,2017,36650,80644
Mercedes-Benz,M-Class,2012,15495,101985
Ford,Flex,2014,10995,128317
Toyota,Camry,2019,20500,10424
Dodge,Ram 2500,2008,11199,165191
Mercedes-Benz,GLA,2019,24850,46498
Toyota,Camry,2017,16950,41555
Lexus,RC,2016,28999,58000
BMW,5 Series,2016,16777,89350
Jeep,Compass,2019,19495,74718
Honda,CR-V,2019,27999,35284
Ford,Escape,2021,29995,2612
Nissan,Rogue,2019,23795,38678
Ford,Econoline Cargo Van,2006,10995,99960
Nissan,Rogue Sport,2019,24588,29104
Nissan,Sentra,2017,9900,88978
Jeep,Grand Cherokee,2019,29900,42205
Toyota,RAV4,2018,26999,33193
BMW,5 Series,2018,32000,53000
Toyota,Highlander,2011,12800,158472
Kia,Optima,2020,18999,45598
Ford,Escape,2019,20000,66899
Hyundai,Tucson,2019,23739,27894
Mercedes-Benz,GLE,2021,57995,34362
Chevrolet,Traverse,2009,6499,95698
Ford,Fusion,2017,16499,49963
Chevrolet,Trax,2020,21542,4623
Ford,F-150,2018,30998,63076
Hyundai,Santa Fe,2018,24108,95941
Jeep,Cherokee,2019,28995,17117
Mercedes-Benz,C-Class,2020,59900,12667
Ford,Fusion,2008,5495,131133
Nissan,Rogue,2019,24895,39923
Kia,Optima,2016,15490,47628
Mercedes-Benz,S-Class,2019,150995,15108
Honda,Accord,2015,14995,112212
Honda,CR-V,2018,23458,41782
BMW,X1,2015,11999,83365
Jeep,Wrangler,2017,31998,42619
Honda,HR-V,2017,18449,84500
Jeep,Compass,2019,23932,17610
Subaru,Outback,2016,18995,76393
BMW,X1,2018,26599,45000
Volvo,XC90,2021,52495,5294
INFINITI,Q50,2018,26995,21973
Mazda,CX-5,2018,20990,68075
Ferrari,458 Italia,2015,239000,19454
Honda,CR-V,2019,28495,32227
Mitsubishi,Outlander,2020,19777,24941
Nissan,Sentra,2018,13290,57987
Ford,Edge,2018,19995,95280
Honda,Civic,2020,24995,17926
BMW,X5,2018,39995,35595
Ford,EcoSport,2018,15995,64175
Honda,Pilot,2018,23999,110459
Chevrolet,Equinox,2018,15699,121591
Hyundai,Accent,2015,5995,130543
Acura,MDX,2019,35721,42021
Honda,Civic,2020,26900,14363
Dodge,Grand Caravan,2018,11885,102137
GMC,HUMMER EV,2022,198800,153
Chevrolet,Tahoe,2020,39995,59133
Ford,Explorer,2016,19999,129964
GMC,Terrain,2020,26695,14311
Ford,Fusion,2018,16990,86525
Ford,Super Duty F-250,2019,42998,94553
Ford,F-150,2015,28998,98752
Toyota,4Runner,2021,41197,41752
Kia,Forte,2019,19332,29463
Dodge,Challenger,2019,28999,42592
Honda,Accord,2008,5595,169674
Chevrolet,Equinox,2019,20000,88479
Mercedes-Benz,C-Class,2019,29285,41482
Nissan,Rogue,2019,21294,41816
INFINITI,Q50,2019,26990,29802
Nissan,Rogue,2018,19995,24628
Nissan,Kicks,2020,22500,20000
Volvo,XC40,2019,34770,30756
Mercedes-Benz,C-Class,2019,33998,39000
Chevrolet,Cruze,2014,6486,123114
Honda,Civic,2009,5995,156512
Honda,Odyssey,2010,10000,153797
Lexus,RX,2015,18995,94496
Nissan,Armada,2020,32995,58971
Nissan,Sentra,2019,13990,67434
Mazda,CX-5,2017,24889,59224
Honda,Accord,2019,30091,20890
Jeep,Cherokee,2019,26995,28414
Ford,Explorer,2020,39995,19253
Nissan,Rogue,2019,24990,37062
Ram,2500,2018,30994,81492
Nissan,Rogue,2020,29090,11449
GMC,Yukon,2005,4998,177544
Honda,Accord,2019,23195,81196
Ford,Explorer,2018,30000,28051
Volkswagen,Passat,2015,8886,122396
BMW,X5,2018,35898,51889
Mercedes-Benz,GLE,2021,146564,2856
Jeep,Grand Cherokee,2019,32199,31039
Cadillac,XT5,2019,35900,34747
Chevrolet,Equinox,2019,22000,16155
Chevrolet,Trax,2015,7499,155509
BMW,5 Series,2012,13950,104809
Nissan,Rogue,2019,22500,32712
Jeep,Grand Cherokee,2020,36495,17938
Chevrolet,Silverado 2500HD,2008,19995,89602
BMW,X5,2019,45990,50419
Toyota,Camry,2019,23995,36315
Nissan,Altima,2019,23495,55993
Hyundai,Tucson,2017,19980,37938
Nissan,Altima,2015,12497,69750
Lexus,GX,2019,42187,19104
Hyundai,Elantra,2013,10031,90038
Honda,Civic,2019,22275,27173
BMW,X5,2011,7779,154000
Mercedes-Benz,C-Class,2019,31595,20253
Acura,MDX,2019,37744,38102
Toyota,Camry,2020,22900,48800
Ford,Escape,2019,23235,30375
Hyundai,Sonata,2015,10593,104000
GMC,Terrain,2019,26994,23441
Ford,Escape,2019,22990,36147
Hyundai,Tucson,2019,17887,47879
Ford,Edge,2020,37996,15924
Mercedes-Benz,GLE,2020,48995,29280
Hyundai,Sonata,2019,18475,41693
Mazda,CX-5,2021,27797,46621
Dodge,Journey,2017,13400,77407
Audi,Q5,2016,14994,107030
Nissan,Altima,2020,26781,7190
Chevrolet,Bolt EV,2020,29995,11863
Tesla,Model S,2022,135995,1730
Honda,CR-V,2019,28999,25229
Ford,Expedition,2021,68949,11156
Nissan,Rogue,2017,11990,131942
Honda,Pilot,2019,35146,15425
Honda,Civic,2017,19998,67958
Subaru,XV Crosstrek,2013,8495,168844
Toyota,RAV4,2020,30207,30754
Dodge,Durango,2018,28585,79375
BMW,X3,2019,33998,37282
INFINITI,Q50,2019,26990,37064
Toyota,RAV4,2018,24974,27377
Porsche,Macan,2021,89500,14227
Mercedes-Benz,E-Class,2019,38888,53693
Hyundai,Santa Fe,2020,26648,18685
Audi,Q7,2019,39408,51359
Honda,Pilot,2020,34795,23479
Honda,CR-V,2019,27994,23530
INFINITI,QX50,2017,19995,90788
Mercedes-Benz,GLB,2021,40855,14768
Chevrolet,Malibu,2018,21990,23023
Jeep,Grand Cherokee,2019,29998,23311
Honda,CR-V,2019,25695,34031
Jeep,Grand Cherokee,2020,34495,34246
Ford,F-150,2019,32584,57348
Ford,F-150,2020,41998,26843
Jeep,Wrangler,2018,33772,54320
Toyota,RAV4,2019,25998,61194
Porsche,Panamera,2014,43995,69999
Subaru,Forester,2020,29998,42877
Chevrolet,Cruze,2015,11400,65000
Honda,CR-V,2013,18950,51097
Toyota,RAV4,2019,24765,56658
Nissan,Rogue,2018,14595,76929
BMW,4 Series,2016,24988,75590
Ram,ProMaster Cargo Van,2017,23799,117363
Ram,1500,2019,37998,26445
Hyundai,Santa Fe Sport,2013,15999,69469
Honda,Odyssey,2020,38995,26872
Maserati,GranTurismo,2018,75995,12891
Ford,Explorer,2019,34250,17522
Ford,F-150,2014,18400,145437
Honda,CR-V,2019,22995,45837
GMC,Acadia,2019,24995,103287
Chevrolet,Malibu,2013,10499,68256
Ford,Explorer,2015,20643,38559
Subaru,Forester,2019,30995,26081
Ram,ProMaster Cargo Van,2019,30999,116773
Nissan,Rogue,2017,17400,53734
Chevrolet,Silverado 1500,2018,35998,95823
Nissan,JUKE,2011,7695,98570
Jeep,Compass,2019,22865,60209
Audi,Q7,2015,20289,81061
Nissan,Sentra,2019,15199,52417
Kia,Sportage,2017,17542,66467
Audi,Q7,2019,40318,53056
Honda,Pilot,2020,39495,26832
Ram,1500,2022,61900,100
Volvo,XC90,2020,44590,26807
Honda,Accord,2013,16495,23140
INFINITI,QX60,2014,12495,161870
Toyota,Camry,2021,25898,22754
Nissan,Sentra,2019,17998,51139
Mercedes-Benz,GLS,2019,45995,46330
Toyota,4Runner,2021,37597,51609
Mercedes-Benz,C-Class,2019,29888,27699
Chevrolet,Silverado 1500,2019,39999,45423
Jeep,Grand Cherokee,2014,35995,68863
Porsche,Macan,2017,48995,75723
Chevrolet,Equinox,2019,22995,24688
Toyota,Corolla,2016,15042,58800
BMW,X5,2019,47495,41728
Honda,Accord,2021,34888,8002
Honda,Odyssey,2020,38382,18385
Rolls-Royce,Ghost,2022,485500,65
Ram,1500,2015,24599,85528
Ford,Explorer,2018,24995,111768
Honda,CR-V,2018,26995,22890
Subaru,Crosstrek,2019,25695,31414
Nissan,Rogue,2019,21998,19289
Subaru,Forester,2021,31889,20806
Hyundai,Elantra,2018,19588,29251
Chevrolet,Equinox,2019,21998,47540
Toyota,Camry,2018,18024,72553
Nissan,Altima,2008,7593,59427
Mercedes-Benz,C-Class,2019,32663,34769
Ram,1500,2019,34972,74966
GMC,Terrain,2019,25395,38417
Toyota,Tacoma,2019,37500,33002
Volkswagen,Tiguan,2020,32913,8596
Nissan,Maxima,2020,22995,30046
Mercedes-Benz,CLS,2011,21998,52798
Chevrolet,Silverado 1500,2020,35000,38796
Honda,Civic,2019,22973,22442
Mercedes-Benz,GLE,2020,58995,19797
Volkswagen,Tiguan,2019,28876,23670
Ford,F-150,2018,35998,59461
Mercedes-Benz,C-Class,2016,30995,41177
INFINITI,Q50,2019,27995,33251
Honda,Civic,2019,18995,56959
Nissan,Altima,2016,18998,52879
Subaru,Crosstrek,2019,24996,57808
Ford,F-150,2019,35998,73642
Chevrolet,Silverado 1500,2021,45990,40399
Mazda,CX-5,2019,25995,24028
Nissan,Sentra,2019,15974,53042
Mercedes-Benz,E-Class,2015,18995,82560
Honda,Pilot,2011,10000,177526
Toyota,Corolla,2020,24297,30917
BMW,X5,2019,50998,28816
Jeep,Grand Cherokee,2020,36998,25986
Volvo,XC90,2019,44295,16043
Nissan,Pathfinder,2014,13995,89562
Ford,Edge,2014,13995,88140
Mercedes-Benz,GLC,2019,38490,38370
Mazda,CX-5,2019,25990,33080
Honda,Civic,2020,27998,17091
Kia,Sportage,2019,23550,27303
Ford,EcoSport,2019,21495,5601
Nissan,Altima,2016,11999,58734
Nissan,Rogue,2019,27595,23451
Mercedes-Benz,E-Class,2014,15995,93526
Toyota,Camry,2019,25615,33533
Hyundai,Tucson,2015,11995,121318
Land,Rover Range Rover Velar,2018,36999,49718
Honda,Pilot,2019,36999,41700
Lincoln,Navigator,2020,69990,31737
Honda,Ridgeline,2006,9999,101447
Ford,F-150,2020,45998,42282
Nissan,Rogue,2018,23995,44995
Mitsubishi,Lancer,2010,5942,139497
Jeep,Grand Cherokee,2019,31496,58289
Nissan,Murano,2019,26497,32063
GMC,Terrain,2019,26995,25760
Jeep,Cherokee,2019,25788,37620
Mercedes-Benz,C-Class,2019,33295,35465
Ford,Fusion,2019,24998,53157
Acura,MDX,2001,4885,214976
Jeep,Compass,2019,23995,27830
Chevrolet,Equinox,2019,26500,15190
BMW,5 Series,2018,32490,31001
Toyota,Highlander,2019,36244,33800
Nissan,Rogue,2019,17146,36393
Ford,Ranger,1999,3999,145587
BMW,5 Series,2018,49995,27936
Chevrolet,Express Cargo Van,2012,14799,182651
Nissan,370Z,2020,45995,16637
BMW,5 Series,2019,43995,4802
Subaru,Crosstrek,2019,20990,92131
Mercedes-Benz,C-Class,2013,11489,99456
Toyota,Sienna,2019,26945,80598
Tesla,Model X,2017,60000,58000
BMW,X7,2021,69990,19417
Jeep,Renegade,2018,20495,44872
Nissan,Altima,2019,20888,26852
Mercedes-Benz,GLS,2019,46995,40200
BMW,3 Series,2018,29995,41962
Honda,Accord,2021,31998,34106
Nissan,Rogue,2019,25895,19546
Toyota,RAV4,2018,23995,48497
GMC,Acadia,2019,30995,48505
Mercedes-Benz,GLE,2021,59889,20888
Toyota,Highlander,2019,31995,50328
BMW,7 Series,2019,41495,44146
Honda,CR-V,2020,32595,22151
Nissan,Altima,2019,19777,47083
Ford,Escape,2019,23255,34529
Ford,Edge,2019,26998,44292
Ford,Super Duty F-250,2014,22995,163069
Nissan,Pathfinder,2020,26795,32386
Mazda,Mazda3,2019,21995,17390
Kia,Seltos,2021,24499,22970
Toyota,RAV4,2018,24995,12452
BMW,X1,2017,18995,44896
Lexus,ES,2019,37484,18079
Ford,Ranger,2020,31195,48639
Cadillac,XT5,2019,36995,24779
Lexus,NX,2019,33560,21608
Audi,Q5,2018,28999,37918
Jeep,Grand Cherokee,2018,27777,64918
Nissan,Rogue,2019,20695,58601
Nissan,Rogue,2019,22895,33894
BMW,X5,2019,47993,33309
Chevrolet,Blazer,2019,35000,26878
Ford,Explorer,2020,36495,23733
Nissan,Murano,2018,17995,76441
Ford,Explorer,2018,28799,31814
Mitsubishi,Outlander,2020,23295,40950
BMW,X5,2018,30995,64119
Jeep,Wrangler,2018,33998,53316
Volkswagen,Passat,2012,9797,108634
Toyota,RAV4,2018,22899,95170
Toyota,Camry,2022,33998,3684
Jeep,Cherokee,2019,23900,29779
Lexus,GX,2019,39887,46063
Chevrolet,Traverse,2016,11799,104260
Honda,CR-V,2020,34177,10963
Honda,Odyssey,2007,5995,103978
Honda,CR-V,2019,27071,22397
Hyundai,Santa Fe Sport,2018,17995,81858
Ford,Edge,2020,27584,58725
Alfa,Romeo Stelvio,2019,33995,11446
Chevrolet,Impala,2007,2500,184585
Chevrolet,Silverado 1500,2019,36998,70998
Honda,CR-V,2019,26999,30988
BMW,3 Series,2018,23783,24880
Porsche,Macan,2018,69995,29089
Honda,Civic,2019,20888,39950
Nissan,Armada,2020,33998,57468
Chevrolet,Silverado 1500,2021,49999,11270
Kia,Forte,2017,15590,68445
Mercedes-Benz,C-Class,2017,25998,61969
Chevrolet,Equinox,2019,23975,30002
Nissan,Murano,2018,25045,28674
Jeep,Compass,2018,21363,37200
Cadillac,XT5,2018,32995,23604
BMW,M5,2016,49500,45172
Mercedes-Benz,CL,2010,33590,22558
Porsche,Cayenne,2018,45995,34346
Nissan,Murano,2019,27894,29114
Toyota,Camry,2020,29998,20321
Chevrolet,Malibu,2020,21590,61020
GMC,Savana Cargo Van,2017,17500,161178
Jeep,Grand Cherokee,2019,38894,26254
Jeep,Grand Cherokee WK,2021,35495,23285
BMW,X5,2019,47995,40419
Honda,Civic,2020,25047,38550
Cadillac,CTS,2018,29900,32043
Acura,TLX,2020,29995,16022
Subaru,Impreza,2017,16995,43176
Chevrolet,Equinox,2019,21500,17303
Mazda,CX-5,2018,22490,45996
Audi,A4,2018,19995,50946
Nissan,Frontier,2013,13800,81556
Toyota,Highlander,2019,34495,28877
Volkswagen,Arteon,2021,40995,6624
Honda,Accord,2020,22999,47759
Mercedes-Benz,GLC,2021,46490,17543
Audi,A8,2004,4450,154254
Mercedes-Benz,E-Class,2015,52999,40508
Lexus,ES,2019,34900,29945
Mercedes-Benz,E-Class,2014,16995,116238
Mercedes-Benz,E-Class,2014,16995,116238
Mercedes-Benz,C-Class,2021,41794,9755
Ford,Fusion,2017,15999,61663
Jeep,Grand Cherokee,2014,15879,112000
INFINITI,QX60,2019,34998,30065
BMW,X7,2020,64999,4973
Toyota,Highlander,2015,18995,112690
Lexus,RX,2020,46969,36872
Chevrolet,Equinox,2016,10995,129655
Nissan,Armada,2020,31995,66549
Dodge,Grand Caravan,2020,21990,48602
Jeep,Cherokee,2018,24990,24696
Honda,CR-V,2016,21239,83277
Kia,Sorento,2020,29995,51105
Nissan,Rogue,2020,27165,16210
Jeep,Cherokee,2019,27995,15526
Kia,Optima,2020,20797,53098
GMC,Sierra 2500HD,2016,21495,81934
Ford,Econoline Cargo Van,2013,12995,160582
Nissan,Rogue,2020,29108,11246
Chrysler,200,2013,6559,97000
Nissan,Rogue,2020,29266,9179
Honda,CR-V,2019,29998,16431
Jeep,Wrangler,2019,33995,40475
Toyota,Corolla,2017,18495,15174
BMW,3 Series,2018,29495,43693
Chevrolet,Malibu,2013,7495,117912
Subaru,Forester,2020,30719,14276
Mercedes-Benz,E-Class,2018,31998,52447
INFINITI,Q50,2019,28776,38330
Volkswagen,New Beetle,2005,4877,108943
Nissan,Rogue,2015,15490,67212
Subaru,WRX,2019,33999,14846
Dodge,Durango,2018,54900,38124
Land,Rover Range Rover Sport,2016,33392,70000
Volvo,XC90,2022,64500,11521
GMC,Yukon,2022,84500,110
Ford,Fusion,2014,14990,82293
Mercedes-Benz,S-Class,2019,58888,25041
Kia,Sorento,2019,22490,41334
Honda,CR-V,2018,27995,38254
Jeep,Grand Cherokee,2018,28942,30580
Ford,Escape,2019,23000,39214
Chevrolet,Silverado 1500,2021,54000,37874
Subaru,Ascent,2019,31756,46937
Honda,Odyssey,2012,8999,150346
Honda,Odyssey,2019,38160,19208
Toyota,RAV4,2015,14995,128031
Jeep,Compass,2012,6950,119065
Honda,CR-V,2019,26500,39209
Chevrolet,Equinox,2019,25998,15773
Jeep,Cherokee,2019,26995,38963
Ford,F-150,2020,36600,55962
Honda,HR-V,2019,25490,21293
Porsche,Cayenne,2021,145995,4953
Ford,Fusion,2020,16526,65561
Honda,Accord,2020,31995,21128
Cadillac,Escalade,2017,41900,72479
Mercedes-Benz,S-Class,2020,72995,14528
Ford,F-150,2021,40998,28565
FIAT,500X,2016,17550,24764
Mercedes-Benz,GLS,2019,46988,27945
Lexus,RX,2019,34995,43168
Nissan,Altima,2020,23998,78502
Honda,Accord,2019,22590,28203
BMW,X5,2019,41245,48729
Ford,Explorer,2014,12995,105453
Ford,F-150,2017,36998,71427
Hyundai,Santa Fe Sport,2017,15980,76227
Ford,Bronco,2021,50990,5122
Cadillac,ELR,2014,24990,70935
Nissan,Altima,2015,9486,124595
INFINITI,Q50,2014,20981,58639
GMC,Terrain,2020,27540,23571
Mercedes-Benz,Metris Cargo Van,2018,31000,16220
Ford,Fusion,2018,19998,50667
Nissan,Altima,2021,24697,43800
Nissan,Sentra,2018,14995,56306
Jeep,Grand Cherokee,2017,30995,70952
Nissan,Rogue,2011,8996,70894
Honda,CR-V,2019,26490,36321
Hyundai,Sonata,2019,21500,8501
Kia,Forte,2017,15590,69322
Jeep,Cherokee,2018,19995,61006
Ford,F-150,2019,37998,43940
Nissan,Rogue,2019,27603,19677
Subaru,WRX,2018,20500,78000
Lexus,UX,2021,35900,30373
Chevrolet,Equinox,2019,22000,32509
Ram,1500,2020,37000,33313
Chrysler,Town & Country,2014,8195,126141
Mercedes-Benz,C-Class,2019,32998,30685
Ford,Explorer,2020,32998,44022
Ford,Escape,2019,19795,24718
Ford,Super Duty F-350,2019,64900,26326
Scion,tC,2015,9777,109146
Honda,Accord,2015,11900,138756
Toyota,Highlander,2020,42799,44765
Ford,Edge,2021,40957,3735
Ford,F-150,2020,32945,46120
BMW,3 Series,2019,32888,42199
Honda,Pilot,2019,28995,41205
Chevrolet,Equinox,2019,23844,38750
Chevrolet,Blazer,2019,33000,9005
GMC,Terrain,2020,23990,61347
Ram,1500,2020,37998,39774
Tesla,Model 3,2020,49995,40476
Chevrolet,Equinox,2019,24800,22849
BMW,X5,2015,21795,98020
INFINITI,QX60,2019,31888,35208
Hyundai,Sonata,2022,31777,5864
GMC,Acadia,2019,32998,40906
Toyota,Corolla,2020,21500,27863
Lexus,RX,2012,16995,113097
Tesla,Model 3,2019,46998,32613
Ford,Fusion,2014,14590,87517
Mercedes-Benz,C-Class,2015,19999,81897
Jeep,Cherokee,2019,25294,43067
Toyota,Highlander,2010,9700,169970
Ford,Explorer,2018,30900,40612
Honda,Accord,2013,14500,97533
Subaru,Crosstrek,2019,24499,46865
Honda,Civic,2019,25995,8248
BMW,X5,2018,31995,72483
Volkswagen,Tiguan,2019,26988,40395
Volvo,XC90,2020,45650,32708
Mercedes-Benz,GLC,2022,50110,6352
Honda,Civic,2019,23998,41437
Hyundai,Sonata,2018,17848,39274
Kia,Telluride,2020,32801,88590
Toyota,Corolla,2021,24998,14563
Acura,ILX,2016,19990,80608
Chevrolet,Equinox,2019,21991,48994
Nissan,Rogue,2021,24719,42037
Dodge,Charger,2020,27998,34293
Toyota,Highlander,2019,26995,88964
Chevrolet,Tahoe,2017,45500,24695
Chevrolet,Camaro,2019,40378,20019
Volvo,XC60,2019,42390,21951
Toyota,RAV4,2019,28295,24453
Honda,Odyssey,2014,21955,57983
Nissan,Rogue,2013,7089,140825
Chevrolet,Silverado 1500,2020,36547,60900
Hyundai,Elantra,2018,11877,96330
GMC,Terrain,2015,15199,67186
Nissan,NV Cargo,2019,34900,58930
Jeep,Grand Cherokee,2017,20895,100898
BMW,3 Series,2018,27995,24000
Hyundai,Elantra,2020,19868,17645
Hyundai,Sonata,2011,6999,126660
BMW,5 Series,2019,32995,49467
BMW,M3,2017,48500,75493
Honda,Accord,2017,18942,51684
Mercedes-Benz,GLC,2022,49475,8350
Nissan,Rogue,2020,29025,12277
BMW,X5,2019,41597,48447
BMW,X1,2016,17877,99771
Toyota,Camry,2019,29998,42087
Nissan,Rogue,2020,28982,12835
Chevrolet,Tahoe,2021,68000,19705
Jeep,Compass,2022,32500,390
Nissan,Rogue,2019,26995,38039
Ford,Escape,2019,23295,33250
BMW,4 Series,2019,31150,27327
Nissan,Altima,2020,21997,60391
Mercedes-Benz,E-Class,2016,21998,65982
Audi,Q5,2020,38518,28981
Nissan,Rogue,2018,22995,37747
Honda,Civic,2017,15995,54229
Ram,1500,2014,19199,162179
INFINITI,Q50,2019,26990,54365
INFINITI,QX50,2020,37077,32121
Mercedes-Benz,C-Class,2017,30998,34129
Hyundai,Santa Fe Sport,2014,14995,105116
Porsche,Cayenne,2019,60998,23072
Mercedes-Benz,GLC,2019,39890,25716
Honda,Civic,2015,15319,101000
Hyundai,Elantra,2020,16450,53951
Chevrolet,Equinox,2018,19990,58551
Mercedes-Benz,GLE,2020,52899,33771
Mercedes-Benz,GLE,2020,52899,33771
Mercedes-Benz,C-Class,2018,25999,93309
Toyota,RAV4,2019,28990,23856
Toyota,Tundra,2019,40994,23894
Nissan,Rogue,2017,15995,86500
Ford,Explorer,2015,14995,94258
Honda,CR-V,2008,7399,179350
Nissan,Altima,2020,27998,62243
Toyota,Camry,2012,10950,113813
Chevrolet,Tahoe,2018,40995,62226
Chevrolet,Equinox,2019,22337,34089
Jeep,Cherokee,2019,26995,29954
Ram,1500,2021,49990,5074
Ford,Escape,2018,21330,34770
Mercedes-Benz,GLB,2021,42995,16793
Toyota,Corolla,2021,23998,36000
Nissan,Altima,2019,16690,29064
Ford,Escape,2019,23995,20208
Ford,Explorer,2018,28395,35606
Ford,F-150,2019,38495,51815
Porsche,Cayenne,2020,69985,22972
Toyota,Tacoma,2018,29987,73228
Jeep,Wrangler,2017,25985,110861
Volkswagen,Tiguan,2019,25000,15172
Subaru,Ascent,2020,35995,17860
Chevrolet,Traverse,2022,48000,7114
Lexus,GX,2019,39995,24969
Tesla,Model 3,2022,63000,1700
Ford,Escape,2019,23932,34934
Honda,Pilot,2020,37719,26319
Lexus,RX,2019,41887,29357
Audi,Q3,2017,24942,46976
Subaru,Forester,2019,26500,32544
Jeep,Compass,2018,19995,42110
Honda,Pilot,2018,27495,77778
Ford,Explorer,2018,24990,75384
Ram,1500,2018,29495,11956
Mercedes-Benz,GLK,2015,15785,107530
Toyota,Corolla,2020,21269,34472
Nissan,Rogue,2018,20995,41074
Cadillac,Escalade,2019,57995,35381
Mercedes-Benz,GLE,2020,48564,56717
Honda,Civic,2019,22814,18888
Mercedes-Benz,C-Class,2018,23250,62562
Porsche,Cayenne,2016,37995,58784
GMC,Acadia,2019,29256,30190
Chevrolet,Traverse,2014,10995,98275
Ford,Fusion,2018,16435,56471
Hyundai,Tucson,2019,23194,32658
Jeep,Grand Cherokee,2017,47995,55749
Mazda,CX-5,2019,26990,21788
Land,Rover LR4,2016,23988,93510
Ford,Edge,2022,33998,9180
Kia,Optima,2019,18539,39251
Kia,Forte,2018,15990,66965
Honda,HR-V,2018,20495,43245
Honda,Pilot,2019,24900,98784
Mazda,Mazda3,2011,6500,125426
Dodge,Charger,2016,18895,119525
Subaru,Impreza,2016,15995,63685
Hyundai,Santa Fe Sport,2017,15995,93652
Acura,TL,2009,7659,160000
Mercedes-Benz,A-Class,2019,33474,20774
Mercedes-Benz,CL,2013,34990,42131
Lexus,IS,2020,39997,22686
Hyundai,Elantra,2017,11990,62327
Lexus,IS,2016,24900,67945
Nissan,Altima,2020,21599,62175
Mercedes-Benz,S-Class,2020,63888,45666
Volkswagen,Tiguan,2019,25495,35473
Jeep,Grand Cherokee,2017,39999,98415
Nissan,Sentra,2019,18998,61030
Dodge,Durango,2019,32995,75502
Honda,Odyssey,2014,21998,83178
Volkswagen,Tiguan,2019,28577,16518
Toyota,Corolla,2021,21888,40283
Volkswagen,Tiguan,2020,23777,36773
Mercedes-Benz,C-Class,2019,28488,19561
Audi,A5,2018,23677,89195
Chevrolet,Suburban,2022,78000,225
Toyota,Tacoma,2021,39797,46501
Honda,Accord,2019,29995,34471
Acura,TLX,2020,31295,15646
Acura,MDX,2019,36995,28250
Chevrolet,Malibu,2018,20998,53269
Toyota,Highlander,2019,35990,29687
Honda,CR-V,2016,20912,71086
Honda,CR-V,2019,29399,25532
Chevrolet,Traverse,2020,26695,38548
Mercedes-Benz,AMG GT,2019,89998,16669
Nissan,Rogue,2019,23998,30221
Ford,Explorer,2020,36895,26384
BMW,X7,2020,60894,39846
Ford,Escape,2020,26998,29336
Ford,Expedition,2014,16995,122277
Porsche,911,2021,289995,327
Jeep,Wrangler,2012,12995,111187
Lexus,NX,2019,37069,50397
Chevrolet,Equinox,2019,20998,75046
Jeep,Compass,2021,23435,23961
Scion,xB,2013,6995,167670
Nissan,Rogue,2018,23695,34088
Nissan,Rogue,2017,14499,56888
Mazda,CX-5,2019,26995,27846
Hyundai,Tucson,2019,26995,28639
Porsche,Macan,2018,36495,71835
Toyota,Corolla,2013,9925,152083
Jeep,Cherokee,2019,27995,79662
Mazda,CX-9,2019,30998,25824
Acura,MDX,2015,14995,170549
Chevrolet,Tahoe,2013,10990,135986
Kia,Sportage,2020,21568,17627
Nissan,Altima,2017,12999,47314
Volvo,XC90,2019,47398,32811
Audi,Q5,2019,35649,15770
Volvo,XC90,2019,50495,14792
Mercedes-Benz,C-Class,2018,29995,49611
Toyota,Highlander,2019,31399,23293
Ford,Explorer,2018,34998,36193
Jeep,Grand Cherokee,2019,36990,25921
BMW,X1,2014,12495,111114
Ford,Escape,2019,22420,43358
Jeep,Grand Cherokee,2020,32988,31000
Honda,CR-V,2019,27984,26043
Nissan,Rogue,2016,18895,35631
Nissan,Rogue,2015,12999,100317
Honda,Pilot,2019,33995,37027
Jeep,Cherokee,2019,20821,64367
Kia,Forte,2019,20441,12217
Cadillac,XT5,2017,20995,86820
Jeep,Grand Cherokee WK,2021,35777,20211
BMW,X5,2015,16995,133908
INFINITI,QX60,2018,27491,33968
Mitsubishi,Mirage,2019,11498,39649
Mercedes-Benz,GLC,2020,38998,15514
Ford,Edge,2019,22590,72297
Chevrolet,Equinox,2019,25995,9797
Ford,Edge,2019,28995,35074
Toyota,Camry,2019,24999,44120
Honda,CR-V,2019,28777,28818
Honda,CR-V,2019,28777,18580
Hyundai,Elantra,2016,17990,19096
